3.500000000000000000e+02;4.072929175540226652e+02;4.563352997150856254e+02;4.898717474235544387e+02;5.025171061579971479e+02;4.914059950468860620e+02;4.565384140902211243e+02;4.007797441595300825e+02;3.295151397762448369e+02;2.500000000000000284e+02
3.500000000000000000e+02;4.039346594292501322e+02;4.500238389579995442e+02;4.813683393486995783e+02;4.928473872761385337e+02;4.817362761650275047e+02;4.480350060153662639e+02;3.944682834024440012e+02;3.261568816514723608e+02;2.500000000000000284e+02
3.500000000000000000e+02;4.007412731380915716e+02;4.440222358917583279e+02;4.732824014113922999e+02;4.836523979187388136e+02;4.725412868076276709e+02;4.399490680780589855e+02;3.884666803362027849e+02;3.229634953603138001e+02;2.500000000000000284e+02
3.500000000000000000e+02;3.977046643886523043e+02;4.383152782236344365e+02;4.655934381450843489e+02;4.749088315011756549e+02;4.637977203900645691e+02;4.322601048117509777e+02;3.827597226680788935e+02;3.199268866108745328e+02;2.500000000000000284e+02
3.500000000000000000e+02;3.948171362738418111e+02;4.328885005000358888e+02;4.582819602968730806e+02;4.665945256627666140e+02;4.554834145516555282e+02;4.249486269635397093e+02;3.773329449444803458e+02;3.170393584960640396e+02;2.500000000000000284e+02
3.500000000000000000e+02;3.920713697619851814e+02;4.277281474408504209e+02;4.513294354279965432e+02;4.586884060917245165e+02;4.475772949806133738e+02;4.179961020946631720e+02;3.721725918852948780e+02;3.142935919842074100e+02;2.500000000000000284e+02
3.500000000000000000e+02;3.894604051452378712e+02;4.228211390738692899e+02;4.447182409395700802e+02;4.511704331079960184e+02;4.400593219968849326e+02;4.113849076062367089e+02;3.672655835183136901e+02;3.116826273674600998e+02;2.500000000000000284e+02
3.500000000000000000e+02;3.869776243987799944e+02;4.181550375809176217e+02;4.384316194044984059e+02;4.440215508685864734e+02;4.329104397574753307e+02;4.050982860711650346e+02;3.625994820253620219e+02;3.091998466210021661e+02;2.500000000000000284e+02
3.500000000000000000e+02;3.846167344060763185e+02;4.137180157716558142e+02;4.324536360923430607e+02;4.372236390666209900e+02;4.261125279555098473e+02;3.991203027590096895e+02;3.581624602161002144e+02;3.068389566282984902e+02;2.500000000000000284e+02
3.500000000000000000e+02;3.823717510076831445e+02;4.094988271051418565e+02;4.267691385794830126e+02;4.307594670017138583e+02;4.196483558906027724e+02;3.934358052461496413e+02;3.539432715495862567e+02;3.045939732299053162e+02;2.500000000000000284e+02
